"Uniprot_Accession","Uniprot_ID","REACTOME_ID","REACTOME_description"
"P62979","RS27A_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P35250","RFC2_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P40938","RFC3_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P35244","RFA3_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P40937","RFC5_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"O94782","UBP1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P62979","RS27A_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P49005","DPOD2_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q15054","DPOD3_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9NRF9","DPOE3_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P28340","DPOD1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P0CG47","UBB_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9NS91","RAD18_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P40937","RFC5_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q07864","DPOE1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P35244","RFA3_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q13620","CUL4B_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q8TAF3","WDR48_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9NR33","DPOE4_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P40938","RFC3_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P27694","RFA1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P15927","RFA2_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P0CG48","UBC_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P62877","RBX1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9HCU8","DPOD4_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P62987","RL40_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9NZJ0","DTL_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P35250","RFC2_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P56282","DPOE2_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P63146","UBE2B_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q16531","DDB1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P35251","RFC1_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q13619","CUL4A_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P35249","RFC4_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"P12004","PCNA_HUMAN","R-HSA-110314","Recognition of DNA damage by PCNA-containing replication complex"
"Q9Y253","POLH_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P35250","RFC2_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P40937","RFC5_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P15927","RFA2_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"Q96PM5","ZN363_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P55072","TERA_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P12004","PCNA_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P0CG48","UBC_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P40938","RFC3_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"Q8TAT6","NPL4_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P35251","RFC1_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P35249","RFC4_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"Q92890","UFD1_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"Q9H040","SPRTN_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P62979","RS27A_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P35244","RFA3_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P27694","RFA1_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P0CG47","UBB_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"P62987","RL40_HUMAN","R-HSA-110320","Translesion Synthesis by POLH"
"Q13569","TDG_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P23527","H2B1O_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q16695","H31T_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q8TAT5","NEIL3_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P54274","TERF1_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q9NYB0","TE2IP_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P0C5Y9","H2AB1_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q9NUX5","POTE1_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q969S2","NEIL2_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q99877","H2B1N_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q15554","TERF2_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P20671","H2A1D_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q53HV7","SMUG1_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q8N257","H2B3B_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"O15527","OGG1_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q99880","H2B1L_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"O60814","H2B1K_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q16777","H2A2C_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q9BSI4","TINF2_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P04908","H2A1B_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q9BTM1","H2AJ_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q99879","H2B1M_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q96AP0","ACD_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q93077","H2A1C_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P57053","H2BFS_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q99878","H2A1J_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"O95243","MBD4_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P78549","NTH_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q6FI13","H2A2A_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q16778","H2B2E_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P16104","H2AX_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P62805","H4_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P33778","H2B1B_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q71UI9","H2AV_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q96A08","H2B1A_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q93079","H2B1H_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P62807","H2B1C_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P58876","H2B1D_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"Q96FI4","NEIL1_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P06899","H2B1J_HUMAN","R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine"
"P23527","H2B1O_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q9NUX5","POTE1_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q93077","H2A1C_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q99877","H2B1N_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P78549","NTH_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q9NYB0","TE2IP_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q99878","H2A1J_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q16695","H31T_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q16777","H2A2C_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P58876","H2B1D_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P33778","H2B1B_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q71UI9","H2AV_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"O15527","OGG1_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q969S2","NEIL2_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P16104","H2AX_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q96AP0","ACD_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q93079","H2B1H_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q9BTM1","H2AJ_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q99879","H2B1M_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q13569","TDG_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P57053","H2BFS_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P0C5Y9","H2AB1_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P54274","TERF1_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P04908","H2A1B_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q99880","H2B1L_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"O95243","MBD4_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q8TAT5","NEIL3_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P62805","H4_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q53HV7","SMUG1_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q6FI13","H2A2A_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P62807","H2B1C_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q96A08","H2B1A_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q8N257","H2B3B_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q9BSI4","TINF2_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P20671","H2A1D_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"O60814","H2B1K_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q15554","TERF2_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q16778","H2B2E_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"P06899","H2B1J_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q96FI4","NEIL1_HUMAN","R-HSA-110329","Cleavage of the damaged pyrimidine "
"Q93079","H2B1H_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q16777","H2A2C_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q8N257","H2B3B_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q71UI9","H2AV_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q99878","H2A1J_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P0C5Y9","H2AB1_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P23527","H2B1O_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P04908","H2A1B_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q9NUX5","POTE1_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q9UIF7","MUTYH_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q93077","H2A1C_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q6FI13","H2A2A_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P57053","H2BFS_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"O15527","OGG1_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P33778","H2B1B_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P20671","H2A1D_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q16778","H2B2E_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q9NYB0","TE2IP_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"O60814","H2B1K_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q99880","H2B1L_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q16695","H31T_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P06899","H2B1J_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q8TAT5","NEIL3_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P16104","H2AX_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q96A08","H2B1A_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q96AP0","ACD_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q9BSI4","TINF2_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q99879","H2B1M_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q99877","H2B1N_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P62807","H2B1C_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P29372","3MG_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P54274","TERF1_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q9BTM1","H2AJ_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P62805","H4_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"P58876","H2B1D_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q15554","TERF2_HUMAN","R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine"
"Q9NUX5","POTE1_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q93077","H2A1C_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P29372","3MG_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P33778","H2B1B_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q16695","H31T_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P23527","H2B1O_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q99880","H2B1L_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P06899","H2B1J_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"O15527","OGG1_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q93079","H2B1H_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q99878","H2A1J_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q16777","H2A2C_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P16104","H2AX_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P57053","H2BFS_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q96AP0","ACD_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P58876","H2B1D_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q15554","TERF2_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P62807","H2B1C_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q99879","H2B1M_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q9BSI4","TINF2_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q9UIF7","MUTYH_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P54274","TERF1_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q16778","H2B2E_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q6FI13","H2A2A_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"O60814","H2B1K_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q99877","H2B1N_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P0C5Y9","H2AB1_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P04908","H2A1B_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q9NYB0","TE2IP_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q8N257","H2B3B_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q8TAT5","NEIL3_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q9BTM1","H2AJ_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P62805","H4_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q96A08","H2B1A_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"P20671","H2A1D_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"Q71UI9","H2AV_HUMAN","R-HSA-110331","Cleavage of the damaged purine"
"O95243","MBD4_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"Q13569","TDG_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"O15527","OGG1_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"Q9UIF7","MUTYH_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"P29372","3MG_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"Q53HV7","SMUG1_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"P27695","APEX1_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"P78549","NTH_HUMAN","R-HSA-110357","Displacement of DNA glycosylase by APEX1"
"P27695","APEX1_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"P39748","FEN1_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"P06746","DPOLB_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"Q86W56","PARG_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"Q9UGN5","PARP2_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"Q9NX46","ADPRS_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"P18858","DNLI1_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"P09874","PARP1_HUMAN","R-HSA-110362","POLB-Dependent Long Patch Base Excision Repair"
"P06746","DPOLB_HUMAN","R-HSA-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway"
"P27695","APEX1_HUMAN","R-HSA-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway"
"P49916","DNLI3_HUMAN","R-HSA-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"P18887","XRCC1_HUMAN","R-HSA-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"P06746","DPOLB_HUMAN","R-HSA-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"P62306","RUXF_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62304","RUXE_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q09161","NCBP1_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62318","SMD3_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P14678","RSMB_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q969L4","LSM10_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"Q8WTR7","ZN473_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P83369","LSM11_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
"P62308","RUXG_HUMAN","R-HSA-111367","SLBP independent Processing of Histone Pre-mRNAs"
